name,image,rating,phone,address,languages,specialties,pricing,payment_methods,equipement_et_service,couvert_max,nombre_salle,nombre_salle_clim,couvert_terrasse,Lundi,Mardi,Mercredi,Jeudi,Vendredi,Samedi,Dimanche
Comptoir des Frangines,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/dd9/129-74-22497921-335x335.webp,9.1,04 90 27 03 78,"130, Chemin du Pont Blanc","EN, FR",française,"24 €,21 €","American Express,Carte bancaire/crédit,Espèces,Titre Restaurant,Paiement sans contact",Animaux acceptés,80,2,0,40,09h - 18h30,09h - 18h30,09h - 18h30,09h - 18h30,09h - 18h30,09h - 18h30,Fermé
La Guinguette Velleronnaise,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/83f/187-44-23669947-335x335.webp,23.0,04.90.94.85.84,276 rue du Jas,FR,française,,,"Salon de jardin,Terrain clos,Bar,Terrain ombragé,Terrasse,Toilettes,Parking,Terrasse couverte,Terrasse ombragée,Parking gratuit",0,0,0,0,Fermé,18h30 - 23h,11h30 - 15h,11h30 - 15h,11h30 - 15h,11h30 - 15h,11h - 15h
Timelo l’art de la pizza,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/bac/6-130-24019462-335x335.webp,9.3,04 90 26 70 51,2 rue de l'Oratoire,"EN, FR, IT",Non spécifié,"10 €,30 €","Carte bancaire/crédit,Chèque,Espèces",Animaux acceptés,50,2,0,30,Fermé,Fermé,18h30 - 21h30,18h30 - 21h30,18h30 - 21h30,18h30 - 21h30,Fermé
L’aRoma,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/5d6/248-240-25948408-335x335.webp,21.0,04 90 94 92 84,43 rue de la république,"FR, IT","méditerranéenne, italienne",,"Carte bancaire/crédit,Espèces","Toilettes,Climatisation,Parking à proximité",24,1,0,0,Fermé,12h - 13h30,12h - 13h30,12h - 13h30,12h - 13h30,19h - 22h,19h - 21h30
L’Heure Bleue,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/5e6/156-75-27741084-335x335.webp,9.0,04 86 84 50 85,5 rue de la république,FR,méditerranéenne,"8 €,23 €,23 €,27 €,13 €",,"Aire de jeux,Terrain ombragé,Terrasse,Terrasse ombragée",30,0,0,0,09h - 18h,09h - 18h,09h - 18h,09h - 18h,09h - 18h,09h30 - 16h,Fermé
Kozy,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/b4b/1-197-27968769-335x335.webp,0.0,04 86 84 51 10,"11 Rue de l'Hôpital, 30400 Villeneuve-lès-Avignon, France","EN, FR","fait maison, méditerranéenne",7 €,"Chèque,Carte bancaire/crédit,Espèces","Animaux acceptés,Accès Internet Wifi",24,0,0,24,Fermé,18h - 00h,18h - 00h,18h - 00h,18h - 00h,18h - 00h,Fermé
Crêperie Le L,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/908/19-31-28974867-335x335.webp,9.0,04 90 25 33 76,3 place Saint-Marc,FR,"fait maison, sans gluten, végétariens","10,50 €,16 €,25 €,10 €","Carte bancaire/crédit,Espèces","Chaise bébé,Terrasse,Climatisation,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés,Restauration enfants",16,0,0,16,09h00 - 23h00,Fermé,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Le Prieuré – Baumanière,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/d2c/101-57-24918373-335x335.webp,8.8,+33(0)4 90 15 90 15,7 place du Chapitre,"EN, FR",fait maison,43 €,"American Express,Carte bancaire/crédit,Espèces","Jardin,Chaise bébé,Parking privé,Parking,Terrasse ombragée,Terrasse,Climatisation,Animaux acceptés,Restauration,Restauration enfants",35,1,1,35,09h00 - 23h00,Fermé,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
O’Gastos,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/78d/120-104-27617400-335x335.webp,9.7,+33(0)4 90 88 11 93,49 rue porte de Jonquerettes,"EN, FR","française, provençale, sans gluten, fait maison, végétariens","11 €,22 €,38 €,10 €","Carte bancaire/crédit,Titre Restaurant","Terrasse,Climatisation,Animaux acceptés,Accès Internet Wifi",30,0,0,18,Fermé,Fermé,12h - 13h15,12h - 13h15,12h - 13h15,12h - 13h15,12h - 14h
Le Bouzouki,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/30f/191-129-8749503-335x335.webp,8.6,+33 (0)4 90 25 06 64,13 Chemin du Polygone,"ES, FR","fait maison, méditerranéenne, Cuisine grecque","22 €,25 €,50 €,14 €","Chèque,Espèces,Carte bancaire/crédit","Jardin,Chaise bébé,Cheminée,Terrasse couverte,Parking gratuit,Parking privé,Parking,Terrasse,Accès Internet Wifi,Restauration,Restauration enfants",40,1,0,45,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Aubergine,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/75a/53-56-15677493-335x335.webp,8.6,04 90 90 05 64,15 rue de la République,"DE, EN, ES, FR, DA","méditerranéenne, française, bio, provençale, sans gluten, fait maison, végétariens","9 €,25 €","Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant","Terrasse,Climatisation,Salle de réception,Chaise bébé,Animaux acceptés,Accès Internet Wifi,Restauration,Plats à emporter/Plats cuisinés",100,2,1,50,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
La Petite Cuillère,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/ea4/244-179-9352180-335x335.webp,8.9,+33(0)4 90 89 30 79,1 Square Dagmar Silhol,"EN, FR","fait maison, française, provençale, végétariens",17 €,"Carte bancaire/crédit,Chèque-Vacances Classic,Espèces,Titre Restaurant","Parking à proximité,Terrasse,Climatisation,Animaux acceptés,Accès Internet Wifi,Restauration,Restauration enfants,Salon de thé / Coffee shop",30,1,0,120,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
Le Pavillon Bleu,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/1d3/95-210-6738527-335x335.webp,7.4,04 90 86 71 30,"25, allée Antoine Pinay","IT, DE, EN, FR","fait maison, française","10 €,20 €,16 €,28 €,7 €","Chèque,Titre Restaurant,American Express,Carte bancaire/crédit","Parking privé,Parking autocar,Parking,Terrasse,Climatisation,Accès Internet Wifi,Restauration,Banquet,Plats à emporter/Plats cuisinés,Restauration enfants",0,0,0,0,Fermé,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
La Guinguette du Vieux Moulin,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/7f3/83-54-15873619-335x335.webp,8.9,04 90 14 62 12,"5, rue du Vieux Moulin","EN, FR","fait maison, française, provençale","10 €,26 €,20 €,24 €,11 €","Carte bancaire/crédit,Chèque,Espèces,Titre Restaurant","Jardin,Chaise bébé,Cheminée,Terrasse couverte,Terrasse ombragée,Terrasse,Animaux acceptés,Accès Internet Wifi,Restauration,Restauration enfants",120,3,2,150,Fermé,12h - 14h,12h - 14h,12h - 14h,12h - 14h,12h - 14h,12h - 14h
Restaurant Opéra café,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/701/182-124-22183094-335x335.webp,0.0,04 90 86 17 43,24 place de l'Horloge,"DE, EN, ES, FR",française,"8 €,28 €","Espèces,Titre Restaurant,American Express,Carte bancaire/crédit,Chèque-Vacances Classic","Chaise bébé,Terrasse couverte,Bar,Terrasse,Salle de réception,Animaux acceptés",210,90,0,120,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00
V&G Veggie et Gourmand,https://cdn.iris-etourism.io/uploads/grand_avignon/sizes/b54/214-203-21482454-335x335.webp,0.0,09 88 41 71 79,24 Rue de la Bonneterie,FR,Non spécifié,,,,22,1,0,12,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,09h00 - 23h00,Fermé
